net,length_um
clk,10260.19
_01540_,1069.67
_01580_,1016.745
_01633_,978.2
_01592_,975.26
_01420_,956.07
_01644_,955.49
_01423_,951.83
_01466_,940.75
_01461_,929.095
_01657_,910.725
_01711_,907.865
_01691_,900.315
_01627_,897.835
_01529_,876.095
_01590_,872.735
_01642_,867.22
_01600_,854.44
_02239_,847.08
_01628_,846.525
_01601_,835.475
_01520_,830.41
_01682_,829.82
_01485_,829.67
_01631_,827.705
_01418_,825.715
_01574_,823.68
_01541_,820.32
_01503_,818.93
_01632_,818.2
_01501_,815.99
_01557_,811.96
_01649_,810.06
_02439_,807.715
_01506_,805.545
_02237_,799.9
_01428_,799.89
_01535_,798.05
_01586_,786.35
_01563_,781.27
_01683_,776.72
_01424_,773.095
_01518_,770.72
_01482_,764.105
_01584_,754.875
_01455_,752.835
_01575_,749.62
_02309_,744.085
_01531_,741.82
_01472_,740.36
_01534_,735.19
_02284_,733.17
_01614_,730.565
_01530_,728.25
_01593_,721.21
_01581_,717.19
_01508_,716.505
_01585_,714.645
_01543_,712.46
_01558_,711.76
_01651_,711.14
_01469_,710.555
_01513_,703.2
_01417_,701.3
_01500_,700.495
_02232_,699.525
_01722_,697.04
_01654_,696.115
_02248_,691.815
_01578_,691.255
_01524_,686.75
_01544_,676.69
_01559_,674.635
_02763_,671.02
_01643_,669.44
_02341_,668.64
_02328_,664.695
_02325_,662.87
_01510_,661
_01608_,660.07
_01591_,658.99
_02246_,658.29
_02247_,657.89
_02291_,655.3
_02280_,655.275
_01556_,654.59
_05404_,654.18
_01562_,650.31
_01572_,644.705
_02263_,642.06
_01537_,640.175
_02243_,639.375
_02295_,637.98
_01589_,635.165
_02445_,634.485
_01519_,633.2
_01390_,630.5
_02436_,627.88
_02276_,627.855
_02693_,623.475
_02683_,622.295
_02228_,621.21
_01345_,618.97
_01677_,617.635
_02283_,615.305
_01351_,614.57
net340,609.65
_02244_,608.325
_02231_,608.315
_02285_,607.52
_02292_,607.165
_01686_,606.685
_01692_,606.51
_02290_,604.915
_01672_,603.165
_02238_,601.395
_05656_,600.8
_01641_,600.51
_01526_,600.14
_02235_,598.64
_01678_,595.7
_02256_,594.44
_05451_,594.2
_02253_,593.44
_01573_,592.42
_02342_,591.3
_02317_,591.25
_01321_,589.465
_01525_,587.415
_01669_,587.145
_05440_,587.01
_01637_,584.14
_01579_,578.525
_02272_,577.05
_05322_,575.68
_02437_,575.355
_02224_,575.105
_02223_,574.98
_01515_,574.1
_01355_,567.62
_04762_,567.46
net388,567.11
_05084_,566.25
_04784_,565.555
_02444_,563.81
_02343_,562.21
_01638_,561.695
_05142_,559.11
_02273_,558.925
_05692_,558.26
_01645_,555.84
_02347_,554.63
_02233_,553.22
_02252_,549.4
_04810_,548.37
_02268_,546.845
_02340_,546.835
_05570_,545.61
_02435_,544.9
_02267_,542.07
_02440_,541.69
_04929_,540.73
_05476_,539.18
_02293_,538.615
_02282_,538.56
_02281_,537.155
_05584_,536.87
_05275_,536.81
_02792_,536.2
_05106_,534.835
_05095_,534.03
_05559_,532.29
_04907_,531.51
_02316_,529.78
_02254_,529.6
_05048_,529.59
_05462_,528.29
_05358_,527.795
_04821_,527.78
_01536_,527.19
_02234_,526.89
_05239_,526.46
_02264_,524.59
_04945_,524.33
_02346_,524.205
_02274_,524.1
_04737_,524
_05311_,523.02
_05487_,522.66
_01514_,520.685
_05300_,520.42
_02429_,519.44
_04857_,519.15
_01507_,518.88
_05023_,518.84
_01348_,518.78
_04871_,518.55
_04216_,517.91
_02227_,516.195
_04432_,516.16
_05012_,512.24
_05131_,510.31
_04893_,509.9
_05642_,509.51
_05034_,508.47
_04882_,508.27
_05764_,508.14
_05337_,506.78
_02348_,504.47
_04846_,504.42
_05167_,504.31
_02421_,504.27
_02225_,503.725
_04918_,502.64
_02760_,502.6
_04443_,502.24
_05703_,500.53
_05548_,498.85
_02275_,497.725
_05286_,496.99
_02426_,496.085
_05156_,495.55
_02752_,494.905
_02420_,494.465
_05606_,493.61
_05426_,493.38
_05264_,491.65
_05192_,489.52
_02296_,489.03
_04966_,488.38
_02261_,487.77
_04689_,486.31
_05203_,485.14
_02251_,485.035
_01430_,483.825
_02287_,483.46
_04799_,482.9
_05120_,482.55
_02260_,482.07
_05070_,481.42
_02265_,479.52
_05250_,477.9
_05714_,476.14
_05059_,475.93
_01384_,474.835
_02351_,473.155
_05512_,472.63
_05811_,472.61
_05667_,472.52
_04454_,472.25
_05523_,470.69
_05595_,470.25
_05415_,469.48
_05228_,469.15
_05534_,462.94
_05775_,462.75
_02271_,460.905
_05631_,459.54
_01278_,457.02
_04711_,455.49
_05620_,454.48
_05822_,453.48
_05728_,453.1
_05498_,452.35
_02294_,449.455
_05739_,449.16
_04773_,447.72
_05178_,447.56
_02255_,447.42
_04726_,447.12
_04700_,446.75
_04235_,442.87
_05678_,436.375
_05214_,435.955
_02277_,431.37
_02242_,429.79
_04212_,427.73
_01382_,425.23
_01322_,424.93
_01210_,423.82
_05379_,421.18
_01337_,420.2
net119,419.92
_04835_,418.51
net132,418.48
_02226_,415.89
_05750_,414.28
_05786_,413.49
_04748_,412.17
_02286_,405.81
_04208_,400.3
_04987_,396.8
_04219_,395.66
_02037_,390.13
_04241_,388.5
net415,386.77
net68,385.53
net79,383.28
_01240_,383.08
_01327_,381.52
_04249_,379.68
_01695_,372.1
_01416_,369.7
_01824_,366
_01719_,364.4
_01681_,362.88
_01909_,359.4
_02245_,354.225
_01288_,353.35
_05800_,352.32
_01266_,350.59
net135,347.11
_04227_,346.62
_01238_,345.69
_01259_,345.52
_01276_,336.84
_01226_,336.77
_02723_,334.98
_04188_,334.695
